researcher_id,full_name,source_url
008014C3-24AB-4258-B493-9A4B3CC93A69,Jeffrey Hammond,https://gtr.ukri.org/person/008014C3-24AB-4258-B493-9A4B3CC93A69
008605AC-4E7A-4CEE-B1FD-0203BCF68AC8,Alan Bowman,https://gtr.ukri.org/person/008605AC-4E7A-4CEE-B1FD-0203BCF68AC8
014CFEB2-3043-440B-973B-8ABD8974DBF3,Kenneth Carslaw,https://gtr.ukri.org/person/014CFEB2-3043-440B-973B-8ABD8974DBF3
0156670F-81A5-4840-BD67-700164999012,Deborah Smith,https://gtr.ukri.org/person/0156670F-81A5-4840-BD67-700164999012
015782DF-483F-4813-AA42-AEEC01AF732A,Ilik Saccheri,https://gtr.ukri.org/person/015782DF-483F-4813-AA42-AEEC01AF732A
0162C637-4178-4CDC-B689-28716D3C4F53,Mike Barrett,https://gtr.ukri.org/person/0162C637-4178-4CDC-B689-28716D3C4F53
01714BCA-091E-4307-BE4D-816D46710A6A,Alessandro Sardini,https://gtr.ukri.org/person/01714BCA-091E-4307-BE4D-816D46710A6A
0172F194-864E-4641-95A2-BD92C8CB1834,Martin Brand,https://gtr.ukri.org/person/0172F194-864E-4641-95A2-BD92C8CB1834
017300FC-1FA7-48B3-8573-2A4C2FF0D83D,Philip Cohen,https://gtr.ukri.org/person/017300FC-1FA7-48B3-8573-2A4C2FF0D83D
0174F950-DD73-4DE1-B2DC-6F7E227CA073,Patrick Baker,https://gtr.ukri.org/person/0174F950-DD73-4DE1-B2DC-6F7E227CA073
